station_id,name,lat,lon,capacity,num_bikes_available,num_docks_available
7000,Fort York  Blvd / Capreol Ct,43.639832,-79.395954,35,15,19
7001,Lower Jarvis St / The Esplanade,43.647992,-79.370907,15,12,3
7002,St. George St / Bloor St W,43.667333,-79.399429,19,4,15
7003,Madison Ave / Bloor St W,43.667158,-79.402761,15,8,7
7004,University Ave / Elm St,43.656518,-79.389099,11,3,8
7005,King St W / York St,43.6480008,-79.383177,19,7,12
7006,Bay St / College St (East Side),43.660439,-79.385525,11,5,6
7007,College St / Huron St,43.658148,-79.398167,18,6,12
7008,Wellesley St / Queen's Park Cres,43.663376,-79.392125,19,6,12
7009,King St E / Jarvis St,43.650325,-79.372287,25,22,3
7010,King St W / Spadina Ave,43.645323,-79.395003,19,7,12
7011,Wellington St W / Portland St,43.642982,-79.399256,11,6,4
7012,Elizabeth St / Edward St (Bus Terminal),43.656026,-79.385327,15,6,9
7013,Scott St / The Esplanade,43.64656,-79.375274,18,4,14
7014,Sherbourne St / Carlton St (Allan Gardens),43.663102,-79.373181,17,2,15
7015,King St W / Bay St (West Side),43.64852,-79.380576,19,11,8
7016,Bay St / Queens Quay W (Ferry Terminal),43.640823,-79.376265,23,9,14
7017,Widmer St / Adelaide St W,43.6475076,-79.3914841,11,8,3
7018,Bremner Blvd / Rees St,43.641529,-79.386741,23,10,13
7019,Temperance St. Station,43.6507021,-79.3800546,19,1,17
7020,Phoebe St / Spadina Ave,43.650033,-79.396555,33,3,30
7021,Bay St / Albert St,43.653264,-79.382458,35,12,23
7022,Simcoe St / Queen St W,43.650858,-79.387582,27,16,11
7023,College St / Borden St,43.6571,-79.4056,11,5,6
7024,Dundonald St / Church St,43.66663,-79.38148,36,7,29
7025,Ted Rogers Way / Bloor St E,43.671293,-79.380471,27,21,6
7026,Bay St / St. Joseph St,43.665527,-79.387499,15,9,6
7027,Beverley  St / Dundas St W,43.652823,-79.393388,31,5,26
7028,Gould St / Mutual St,43.6582,-79.3768,31,15,14
7029,Bay St / Bloor St W (East Side),43.66943,-79.38915,15,2,13
7030,Bay St / Wellesley St W,43.664088,-79.387095,51,15,36
7031,Jarvis St / Isabella St,43.668991,-79.379385,23,12,11
7032,Augusta Ave / Dundas St W,43.652473,-79.401456,15,9,6
7033,Union Station,43.645609,-79.380386,43,18,24
